Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cm³),Yield Strength (MPa)
96,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC,CAST,5.8,1240.0
97,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,5.6,1300.0
97,Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,5.9,1700.0
97,Al1 Cr1 Nb1 Ti1 V1,BCC+Laves,ANNEAL,5.8,1550.0
97,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,1000.0
151,Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,7.8,219.0
151,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,7.6,354.0
151,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,7.4,550.0
151,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,7.2,994.0
151,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,6.9,942.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,6.7,1380.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC+Sec.,ANNEAL,6.7,1430.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,6.7,1690.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,6.7,1220.0
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,6.7,1450.0
193,Al0.885 Cr1 Fe1 Ni1,BCC+B2,CAST,6.4,770.0
193,Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,6.3,843.2
193,Al1 Cr0.889 Fe0.889 Ni0.889,BCC+B2,CAST,6.1,1044.0
193,Al1 Cr0.828 Fe0.828 Ni0.828,BCC+B2,CAST,6.0,906.8
193,Al1 Cr0.767 Fe0.767 Ni0.767,BCC+B2,CAST,5.9,1122.8
202,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,8.0,230.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.263,FCC+Sec.,ANNEAL,7.9,200.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC+Sec.,ANNEAL,7.8,620.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.765,FCC+Sec.,ANNEAL,7.7,780.0
202,Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,ANNEAL,7.7,1700.0
115,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,8.0,210.0
115,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,1150.0
115,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,1300.0
125,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,1108.0
125,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,1308.0
125,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,1373.0
136,Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,8.0,1314.0
136,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.9,1631.0
136,Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.6,1836.0
136,Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.4,1932.0
136,Al0.7 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,7.1,2230.0
139,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,8.0,216.0
139,Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,FCC,CAST,8.1,225.0
139,Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1,FCC+Sec.,CAST,8.1,330.0
139,Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1,FCC+Sec.,CAST,8.1,560.0
139,Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1,FCC+Sec.,CAST,8.1,765.0
142,Al1 Co1 Cr1 Ni1,BCC+B2,CAST,6.4,1750.0
147,Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,11.7,3416.0
